customer_id,Min of Recency,Count of product_id,Sum of Profit,R_score,F_score,M_score,RFM Value,Customer Title
1,7,11,3018.09,4,4,3,443,Platinum
2,128,3,2226.26,1,1,2,112,Bronze
3,102,8,3362.81,1,4,3,143,Bronze
4,195,2,220.57,1,1,1,111,Bronze
5,16,6,2394.94,4,2,2,422,Platinum
6,64,5,3946.55,2,2,3,223,Silver
7,253,3,220.11,1,1,1,111,Bronze
8,22,10,7066.94,3,4,4,344,Gold
9,78,6,2353.11,2,2,2,222,Silver
10,33,6,3358.28,3,2,3,323,Gold
11,46,6,3638.84,2,2,3,223,Silver
12,67,7,3540.03,2,3,3,233,Silver
13,27,7,4337.38,3,3,4,334,Gold
14,47,4,1713.9,2,1,1,211,Bronze
15,35,6,1728.39,3,2,1,321,Gold
16,99,5,4521.84,1,2,4,124,Bronze
17,0,5,2015.61,4,2,2,422,Platinum
18,134,7,3543.38,1,3,3,133,Bronze
19,102,3,2951.79,1,1,3,113,Bronze
20,31,4,3608.28,3,1,3,313,Gold
21,6,5,4229.41,4,2,4,424,Platinum
22,97,8,5159.84,1,4,4,144,Bronze
23,10,7,4376.15,4,3,4,434,Platinum
24,17,8,3689.35,4,4,3,443,Platinum
25,5,12,5333.66,4,4,4,444,Platinum
26,113,3,268.24,1,1,1,111,Bronze
27,143,7,3274.25,1,3,3,133,Bronze
28,83,6,3366.56,2,2,3,223,Silver
29,22,9,6175.3,3,4,4,344,Gold
30,11,3,2633.95,4,1,2,412,Platinum
31,89,4,426.11,1,1,1,111,Bronze
32,138,7,2823.12,1,3,3,133,Bronze
33,38,7,5294.27,3,3,4,334,Gold
34,102,9,4825.59,1,4,4,144,Bronze
35,92,4,3706.51,1,1,3,113,Bronze
36,163,2,204.36,1,1,1,111,Bronze
37,7,9,6338.49,4,4,4,444,Platinum
38,50,4,2025.34,2,1,2,212,Silver
39,34,12,6085.17,3,4,4,344,Gold
40,14,6,4552.1,4,2,4,424,Platinum
41,29,9,4698.89,3,4,4,344,Gold
42,111,4,427.04,1,1,1,111,Bronze
43,61,9,3619.95,2,4,3,243,Silver
44,35,7,4768.28,3,3,4,334,Gold
45,43,3,1048.15,3,1,1,311,Silver
46,53,5,1623.63,2,2,1,221,Silver
47,35,7,4332.19,3,3,4,334,Gold
48,82,8,5561.08,2,4,4,244,Silver
49,36,5,4248.68,3,2,4,324,Gold
50,26,8,5783.66,3,4,4,344,Gold
51,55,8,4855.4,2,4,4,244,Silver
52,4,7,5417.83,4,3,4,434,Platinum
53,7,5,2950.07,4,2,3,423,Platinum
54,67,7,4098.21,2,3,3,233,Silver
55,46,8,3220.86,2,4,3,243,Silver
56,2,7,1275.24,4,3,1,431,Platinum
57,35,6,5117.96,3,2,4,324,Gold
58,20,8,3501.37,3,4,3,343,Gold
59,22,3,2628.37,3,1,2,312,Gold
60,200,2,647.22,1,1,1,111,Bronze
61,47,7,4254.24,2,3,4,234,Silver
62,5,6,4920.88,4,2,4,424,Platinum
63,68,3,2190.05,2,1,2,212,Silver
64,3,5,546.68,4,2,1,421,Platinum
65,136,6,4441.61,1,2,4,124,Bronze
66,43,5,4549.2,3,2,4,324,Gold
67,116,5,1203.29,1,2,1,121,Bronze
68,84,3,3842.56,2,1,3,213,Silver
69,20,6,5294.75,3,2,4,324,Gold
70,4,5,2736.9,4,2,2,422,Platinum
71,131,1,155.65,1,1,1,111,Bronze
72,22,5,2559.78,3,2,2,322,Gold
73,168,6,2316.51,1,2,2,122,Bronze
74,28,3,966.52,3,1,1,311,Silver
75,60,8,4979.94,2,4,4,244,Silver
76,1,8,2868.16,4,4,3,443,Platinum
77,101,3,1657.58,1,1,1,111,Bronze
78,211,2,82.26,1,1,1,111,Bronze
79,43,6,2597.46,3,2,2,322,Gold
80,28,10,5988.86,3,4,4,344,Gold
81,4,4,3249.02,4,1,3,413,Platinum
82,78,5,2924.37,2,2,3,223,Silver
83,80,6,1798.2,2,2,2,222,Silver
84,28,7,2295.22,3,3,2,332,Gold
85,37,6,563.37,3,2,1,321,Gold
86,0,9,2360.09,4,4,2,442,Platinum
87,18,9,3740.76,4,4,3,443,Platinum
88,74,6,2534.33,2,2,2,222,Silver
89,4,9,5779.65,4,4,4,444,Platinum
90,30,7,2990.73,3,3,3,333,Gold
91,9,8,5242.41,4,4,4,444,Platinum
92,34,3,2967.44,3,1,3,313,Gold
93,79,3,2976.41,2,1,3,213,Silver
94,33,7,4902.21,3,3,4,334,Gold
95,38,4,3050.81,3,1,3,313,Gold
96,70,4,1135.25,2,1,1,211,Bronze
97,102,8,4911.21,1,4,4,144,Bronze
98,122,5,1930.56,1,2,2,122,Bronze
99,2,9,4557.65,4,4,4,444,Platinum
100,11,2,877.4,4,1,1,411,Gold
101,8,4,2589.89,4,1,2,412,Platinum
102,42,7,2587.01,3,3,2,332,Gold
103,49,5,913.32,2,2,1,221,Silver
104,64,9,3550.26,2,4,3,243,Silver
105,89,4,3475.04,1,1,3,113,Bronze
106,1,3,2513.69,4,1,2,412,Platinum
107,81,4,2343.97,2,1,2,212,Silver
108,10,3,2557.42,4,1,2,412,Platinum
109,8,10,4430.66,4,4,4,444,Platinum
110,14,7,2621.55,4,3,2,432,Platinum
111,147,4,3014.53,1,1,3,113,Bronze
112,47,6,5742.19,2,2,4,224,Silver
113,175,6,2329.49,1,2,2,122,Bronze
114,70,4,2195.26,2,1,2,212,Silver
115,14,8,3135.87,4,4,3,443,Platinum
116,12,8,2447.54,4,4,2,442,Platinum
117,5,10,6917.34,4,4,4,444,Platinum
118,69,5,3550.1,2,2,3,223,Silver
119,30,4,4217.24,3,1,4,314,Gold
120,129,3,1306.78,1,1,1,111,Bronze
121,111,4,2892.09,1,1,3,113,Bronze
122,8,5,2695.22,4,2,2,422,Platinum
123,191,4,3245.75,1,1,3,113,Bronze
124,2,7,4054.25,4,3,3,433,Platinum
125,83,10,3345.01,2,4,3,243,Silver
126,11,3,1096.46,4,1,1,411,Gold
127,23,10,3993.71,3,4,3,343,Gold
128,137,4,2193.06,1,1,2,112,Bronze
129,178,4,2753.75,1,1,2,112,Bronze
130,76,2,1779.58,2,1,1,211,Bronze
131,205,6,5494.91,1,2,4,124,Bronze
132,7,6,2780.72,4,2,2,422,Platinum
133,26,5,803.89,3,2,1,321,Gold
134,14,6,2946.42,4,2,3,423,Platinum
135,115,7,4549.5,1,3,4,134,Bronze
